episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s
119,3017,13.0,26.01,0.850708,14.303679191149199,4.028
120,3081,64.0,26.45,0.84754,22.084769494831562,4.117
121,3114,33.0,26.57,0.8459065,19.38154665629069,4.161
122,3128,14.0,26.59,0.8452135000000001,22.634242125919886,4.181
123,3140,12.0,26.61,0.8446195,19.28581150372823,4.197
124,3161,21.0,26.55,0.84358,18.000064656848,4.225
125,3186,25.0,26.69,0.8423425,21.634188022613525,4.258
126,3223,37.0,26.77,0.840511,21.162891387939453,4.308
127,3278,55.0,27.18,0.8377885,27.65547647476196,4.379
128,3291,13.0,26.98,0.837145,36.26537011219905,4.397
129,3314,23.0,27.05,0.8360065,25.435955368954204,4.432
130,3340,26.0,27.19,0.8347195000000001,22.455951690673828,4.477
131,3355,15.0,27.2,0.833977,28.988009929656982,4.503
132,3371,16.0,27.07,0.833185,13.59323938190937,4.529
133,3390,19.0,27.08,0.8322445,32.10016151478416,4.561
134,3413,23.0,27.18,0.831106,25.79465296994085,4.596
135,3439,26.0,27.02,0.829819,21.742695019795345,4.636
136,3458,19.0,27.05,0.8288785,47.91748004210623,4.662
137,3556,98.0,27.86,0.8240275,54.44365723279058,4.823
138,3568,12.0,27.82,0.8234334999999999,31.04166014989217,4.84
139,3586,18.0,27.7,0.8225425,50.55849321683248,4.865
140,3601,15.0,27.73,0.8218,63.78765796025594,4.887
141,3638,37.0,27.72,0.8199685,40.16075386872163,4.938
142,3667,29.0,27.91,0.818533,30.376508351030022,4.979
143,3699,32.0,27.82,0.8169489999999999,42.040026150643826,5.024
144,3768,69.0,28.13,0.8135335,65.17962110215339,5.118
145,3782,14.0,28.02,0.8128405,27.48023659842355,5.136
146,3828,46.0,28.32,0.8105635,61.1945390286653,5.201
147,3882,54.0,28.75,0.8078905000000001,54.4588290143896,5.275
148,3921,39.0,28.94,0.80596,51.61320292644012,5.328
149,3954,33.0,29.15,0.8043264999999999,68.21794801769835,5.375
150,3970,16.0,29.1,0.8035345,68.27254211902618,5.397
151,4009,39.0,29.3,0.801604,62.23000717163086,5.452
152,4031,22.0,29.25,0.800515,104.75873327255249,5.482
