episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
22,1159,192,210.6,0.8778,0.5992204970680177,90,16.8,9.825065612792969,9.777512550354004,9.633572578430176,1.0024231672286987
23,1205,182,207.95,0.8729,0.7446910763780276,102,18.7,9.982527732849121,10.010981559753418,9.818288803100586,0.9936348795890808
24,1251,183,207.7,0.8681,0.5971246161921457,113,20.5,10.033851623535156,10.120140075683594,9.774728775024414,0.9931755065917969
25,1298,185,205.25,0.8631,0.6231314593266385,125,22.0,10.013900756835938,10.059170722961426,9.683160781860352,0.9882829189300537
26,1368,278,207.65,0.8557,0.3744551449910634,143,24.7,9.919452667236328,9.8992280960083,9.503067016601562,0.9828166961669922
27,1415,185,207.35,0.8507,0.5870444223877381,154,26.6,9.882980346679688,9.881281852722168,9.481528282165527,0.982936441898346
28,1462,185,205.2,0.8458,0.6728379561876258,166,28.3,9.89565658569336,9.941953659057617,9.46471881866455,0.9791807532310486
29,1520,230,207.45,0.8397,0.3792424718849361,181,30.4,9.890975952148438,9.891810417175293,9.547419548034668,0.9804750084877014
30,1567,187,205.1,0.8347,0.609072795137763,192,31.9,9.976566314697266,9.9500150680542,9.50908088684082,0.9689415097236633
31,1614,185,202.9,0.8297,0.37940374032283825,204,33.6,9.819598197937012,9.845471382141113,9.276487350463867,0.9507009387016296
32,1661,185,200.7,0.8248,0.6611535505702099,216,35.3,9.758111000061035,9.713301658630371,9.213234901428223,0.9458282589912415
33,1721,236,203.4,0.8184,0.4098439392944177,231,37.4,9.627347946166992,9.61339282989502,9.088889122009277,0.9461365342140198
34,1770,192,201.55,0.8133,0.6045815931865945,243,39.3,9.559966087341309,9.69125747680664,9.115775108337402,0.9501712918281555
35,1817,185,201.7,0.8083,0.6023486044141464,255,41.4,9.541971206665039,9.682686805725098,9.078238487243652,0.9451608657836914
36,1865,189,201.9,0.8032,0.4391516676793496,267,42.9,9.496808052062988,9.672618865966797,9.077707290649414,0.9371233582496643
37,1913,189,199.8,0.7982,0.46343929941455525,279,44.5,9.55162239074707,9.710715293884277,9.16148567199707,0.9248926043510437
38,1960,185,197.3,0.7932,0.4977469615017374,291,46.1,9.568800926208496,9.68327808380127,9.269218444824219,0.9213376641273499
39,2029,274,199.65,0.7859,0.5243883185441305,308,48.3,9.527231216430664,9.544882774353027,9.328131675720215,0.9161493182182312
40,2076,186,199.85,0.781,0.22943118548816224,320,49.8,9.504297256469727,9.561355590820312,9.310680389404297,0.9154893755912781
41,2123,186,199.95,0.776,0.6563778308124959,331,51.1,9.533025741577148,9.631450653076172,9.280447959899902,0.9158020615577698
42,2169,182,199.45,0.7712,0.1272145326171691,343,52.9,9.524796485900879,9.617544174194336,9.260336875915527,0.9151841998100281
43,2227,231,201.9,0.765,0.3272579539459132,357,54.7,9.4597749710083,9.489669799804688,9.22668743133545,0.9142346978187561
44,2296,275,206.5,0.7578,0.6449378073448315,375,57.2,9.457295417785645,9.519386291503906,9.206966400146484,0.9141337871551514
45,2354,229,208.7,0.7516,0.3507101234780358,389,59.3,9.480585098266602,9.57908821105957,9.208935737609863,0.9141001105308533
46,2400,182,203.9,0.7468,0.41889363961915177,401,61.1,9.604596138000488,9.769795417785645,9.301456451416016,0.913378894329071
47,2458,229,206.1,0.7407,0.6692542370874435,415,63.4,9.510385513305664,9.582387924194336,9.335094451904297,0.9121541380882263
48,2517,234,208.55,0.7344,0.5775200227818762,430,65.6,9.484694480895996,9.563179016113281,9.392080307006836,0.9127187132835388
49,2564,185,206.3,0.7295,0.697312148908774,442,67.4,9.500585556030273,9.619180679321289,9.434981346130371,0.9032697081565857
50,2612,190,206.45,0.7244,0.38766636451085407,454,69.1,9.396981239318848,9.554937362670898,9.375393867492676,0.8935766220092773
51,2659,185,206.45,0.7194,0.49216937053609977,465,70.6,9.517152786254883,9.508878707885742,9.370442390441895,0.8919334411621094
52,2719,239,209.15,0.7131,0.52796285909911,480,72.6,9.430580139160156,9.338543891906738,9.309128761291504,0.8925631046295166
53,2766,184,206.55,0.7081,0.33225669160795707,492,74.3,9.359773635864258,9.264887809753418,9.348775863647461,0.889141321182251
54,2814,191,206.5,0.7031,0.6202651859881977,504,76.0,9.446507453918457,9.446786880493164,9.497974395751953,0.8787081837654114
